geneID	chr	anticage	anticage_zone	batch	batch_zone
ENSDARG00000102407	chr1	11967	chr1:11817-12117	11962	chr1:11812-12112
ENSDARG00000099640	chr1	27821	chr1:27671-27971	27835	chr1:27685-27985
ENSDARG00000104071	chr1	36728	chr1:36578-36878	36735	chr1:36585-36885
ENSDARG00000096578	chr1	157748	chr1:157598-157898	157562	chr1:157412-157712
ENSDARG00000096578	chr1	157748	chr1:157598-157898	157733	chr1:157583-157883
ENSDARG00000016304	chr1	227252	chr1:227102-227402	227244	chr1:227094-227394
ENSDARG00000063385	chr1	260035	chr1:259885-260185	260035	chr1:259885-260185
ENSDARG00000063385	chr1	260035	chr1:259885-260185	266995	chr1:266845-267145
ENSDARG00000078751	chr1	418926	chr1:418776-419076	418926	chr1:418776-419076
ENSDARG00000011299	chr1	494342	chr1:494192-494492	494345	chr1:494195-494495
ENSDARG00000011299	chr1	494342	chr1:494192-494492	494830	chr1:494680-494980
ENSDARG00000058962	chr1	514002	chr1:513852-514152	514000	chr1:513850-514150
ENSDARG00000075325	chr1	524703	chr1:524553-524853	524703	chr1:524553-524853
ENSDARG00000041570	chr1	532817	chr1:532667-532967	532849	chr1:532699-532999
ENSDARG00000041570	chr1	532817	chr1:532667-532967	580669	chr1:580519-580819
ENSDARG00000041570	chr1	580671	chr1:580521-580821	532849	chr1:532699-532999
ENSDARG00000041570	chr1	580671	chr1:580521-580821	580669	chr1:580519-580819
ENSDARG00000058996	chr1	594635	chr1:594485-594785	594635	chr1:594485-594785
ENSDARG00000115421	chr1	961618	chr1:961468-961768	961611	chr1:961461-961761
ENSDARG00000001870	chr1	1689775	chr1:1689625-1689925	1689775	chr1:1689625-1689925
ENSDARG00000002791	chr1	1712157	chr1:1712007-1712307	1712154	chr1:1712004-1712304
ENSDARG00000002791	chr1	1712157	chr1:1712007-1712307	1718417	chr1:1718267-1718567
ENSDARG00000007739	chr1	1789358	chr1:1789208-1789508	1789358	chr1:1789208-1789508
ENSDARG00000039131	chr1	1805291	chr1:1805141-1805441	1805291	chr1:1805141-1805441
ENSDARG00000040245	chr1	2260415	chr1:2260265-2260565	2260415	chr1:2260265-2260565
